entropy,length,keyword_count,special_char_ratio,label,base_sample_id,session_id,timestamp
4.5705,58,0,0.1207,0,ben_0101,sess_0007,1787236395
4.8081,85,0,0.1412,0,ben_0326,sess_0007,1787236396
4.7605,61,0,0.0984,0,ben_0316,sess_0007,1787236400
4.7405,59,0,0.1186,0,ben_0330,sess_0007,1787236402
4.9122,108,0,0.1852,0,ben_0059,sess_0008,1787236405
4.0896,58,1,0.2586,1,mal_0010,sess_0008,1787236408
4.7494,82,0,0.1341,0,ben_0103,sess_0008,1787236411
4.2802,29,3,0.3448,1,mal_0004,sess_0008,1787236415
4.8513,80,0,0.175,0,ben_0368,sess_0008,1787236420
4.4893,53,1,0.1509,0,ben_0413,sess_0009,1787236423
4.531,55,0,0.1455,0,ben_0410,sess_0009,1787236427
4.6125,58,0,0.1207,0,ben_0353,sess_0009,1787236428
3.8577,37,2,0.2432,1,mal_0003,sess_0009,1787236432
4.7062,85,0,0.1294,0,ben_0079,sess_0009,1787236436
4.939,104,0,0.1827,0,ben_0222,sess_0009,1787236440
4.1069,31,0,0.1613,0,ben_0061,sess_0009,1787236442
3.6687,86,1,0.1744,1,mal_0010,sess_0010,1787236446
4.6778,62,0,0.1129,0,ben_0391,sess_0010,1787236447
2.7255,9,2,0.3333,1,mal_0015,sess_0010,1787236450
4.7484,84,0,0.1429,0,ben_0247,sess_0010,1787236453
4.6846,76,0,0.1447,0,ben_0054,sess_0010,1787236455
4.5612,51,1,0.1569,0,ben_0414,sess_0010,1787236457
4.9405,108,0,0.1852,0,ben_0352,sess_0010,1787236460
3.5842,27,2,0.1852,1,mal_0009,sess_0011,1787236464
4.6046,61,0,0.0984,0,ben_0229,sess_0011,1787236468
4.6371,92,0,0.1196,0,ben_0256,sess_0011,1787236469
4.8876,108,0,0.1574,0,ben_0188,sess_0012,1787236470
3.1531,42,1,0.3095,1,mal_0014,sess_0012,1787236475
4.6856,92,0,0.1413,0,ben_0178,sess_0012,1787236480
4.6634,58,0,0.1034,0,ben_0320,sess_0012,1787236485
4.5587,95,0,0.1263,0,ben_0396,sess_0012,1787236486
4.6809,61,0,0.0984,0,ben_0345,sess_0013,1787236488
4.6159,87,0,0.1264,0,ben_0009,sess_0013,1787236493
4.6401,61,0,0.1148,0,ben_0253,sess_0013,1787236496
4.8656,126,0,0.1587,0,ben_0398,sess_0013,1787236498
4.3652,60,1,0.15,0,ben_0404,sess_0013,1787236499
4.5167,66,3,0.1667,1,mal_0012,sess_0014,1787236503
4.8863,110,0,0.1727,0,ben_0216,sess_0014,1787236506
4.9595,112,0,0.1786,0,ben_0234,sess_0014,1787236508
4.2276,88,3,0.125,1,mal_0012,sess_0014,1787236513
4.5541,57,0,0.1053,0,ben_0037,sess_0014,1787236514
4.5555,61,0,0.0984,0,ben_0228,sess_0014,1787236516
4.7131,76,0,0.1579,0,ben_0208,sess_0014,1787236518
4.8767,99,0,0.1616,0,ben_0312,sess_0014,1787236522
4.6497,49,0,0.1633,0,ben_0409,sess_0015,1787236527
5.0132,116,0,0.1724,0,ben_0022,sess_0015,1787236529
4.7288,62,0,0.1129,0,ben_0258,sess_0015,1787236530
4.2468,121,6,0.5124,1,mal_0013,sess_0016,1787236531
4.3752,29,3,0.3103,1,mal_0011,sess_0016,1787236532
4.876,108,0,0.1574,0,ben_0355,sess_0016,1787236535
2.3685,11,1,0.4545,1,mal_0001,sess_0016,1787236538
4.6428,67,0,0.1642,0,ben_0117,sess_0016,1787236542
4.9839,111,0,0.1712,0,ben_0299,sess_0016,1787236546
3.3232,15,2,0.2667,1,mal_0005,sess_0016,1787236549
4.6461,54,0,0.1111,0,ben_0235,sess_0017,1787236552
4.9207,105,0,0.181,0,ben_0297,sess_0017,1787236553
2.9477,9,1,0.3333,1,mal_0007,sess_0017,1787236558
4.6997,67,0,0.1045,0,ben_0191,sess_0017,1787236562
4.7782,58,0,0.1034,0,ben_0321,sess_0017,1787236564
4.684,57,0,0.1228,0,ben_0243,sess_0017,1787236568
4.1375,28,0,0.1429,0,ben_0046,sess_0017,1787236571
4.6095,81,0,0.1358,0,ben_0359,sess_0018,1787236573
4.8095,82,0,0.1463,0,ben_0341,sess_0018,1787236576
4.6692,54,2,0.1111,0,ben_0417,sess_0018,1787236581
3.9783,29,3,0.3103,1,mal_0011,sess_0018,1787236583
4.5865,84,0,0.131,0,ben_0389,sess_0019,1787236587
4.5531,56,0,0.1071,0,ben_0043,sess_0019,1787236588
4.8606,98,0,0.1633,0,ben_0383,sess_0019,1787236591
4.6748,81,0,0.1358,0,ben_0268,sess_0019,1787236593
3.6905,51,2,0.1765,1,mal_0003,sess_0019,1787236594
4.6293,59,0,0.1186,0,ben_0116,sess_0019,1787236599
4.9276,106,0,0.1887,0,ben_0150,sess_0019,1787236602
4.9472,105,0,0.181,0,ben_0190,sess_0019,1787236606
4.7913,94,0,0.1489,0,ben_0164,sess_0020,1787236609
4.584,53,0,0.1132,0,ben_0397,sess_0020,1787236611
4.7179,93,0,0.129,0,ben_0275,sess_0020,1787236616
5.0175,108,0,0.1759,0,ben_0335,sess_0020,1787236619
4.982,102,0,0.1863,0,ben_0158,sess_0020,1787236620
4.9634,63,0,0.127,0,ben_0366,sess_0021,1787236624
4.107,28,2,0.2143,1,mal_0008,sess_0021,1787236628
4.9645,109,0,0.1651,0,ben_0239,sess_0021,1787236630
3.8714,65,3,0.1846,1,mal_0004,sess_0021,1787236631
2.3685,11,1,0.4545,1,mal_0001,sess_0022,1787236633
4.8028,85,0,0.1412,0,ben_0018,sess_0022,1787236637
4.8954,111,0,0.1712,0,ben_0290,sess_0022,1787236642
4.6245,56,0,0.125,0,ben_0217,sess_0023,1787236643
4.9696,103,0,0.1845,0,ben_0100,sess_0023,1787236647
5.0119,111,0,0.1712,0,ben_0038,sess_0023,1787236648
3.085,12,1,0.5833,1,mal_0007,sess_0023,1787236650
4.8816,129,0,0.155,0,ben_0089,sess_0023,1787236653
4.5069,30,1,0.4333,1,mal_0010,sess_0023,1787236656
3.9149,23,2,0.2174,1,mal_0003,sess_0024,1787236657
4.7282,58,0,0.1034,0,ben_0087,sess_0024,1787236661
3.1536,23,1,0.4783,1,mal_0009,sess_0024,1787236664
4.845,88,0,0.1477,0,ben_0177,sess_0024,1787236666
3.7594,33,0,0.1818,0,ben_0082,sess_0025,1787236669
2.5101,19,2,0.7895,1,mal_0015,sess_0025,1787236674
4.727,82,0,0.1463,0,ben_0236,sess_0025,1787236675
4.8025,87,0,0.1379,0,ben_0305,sess_0025,1787236676
3.3816,17,2,0.1765,1,mal_0009,sess_0025,1787236678
4.642,62,0,0.0968,0,ben_0118,sess_0025,1787236682
4.6649,59,0,0.1017,0,ben_0264,sess_0026,1787236684
4.7406,80,0,0.15,0,ben_0225,sess_0026,1787236686
4.5104,53,0,0.1132,0,ben_raw_0006,sess_0026,1787236689
4.9466,110,0,0.1818,0,ben_0021,sess_0027,1787236693
4.2506,35,3,0.5143,1,mal_0004,sess_0027,1787236696
4.4058,38,4,0.2632,1,mal_0002,sess_0027,1787236699
4.9169,105,0,0.181,0,ben_0381,sess_0027,1787236704
4.9183,110,0,0.1545,0,ben_0323,sess_0027,1787236708
3.7396,30,0,0.1667,0,ben_raw_0004,sess_0027,1787236709
4.9581,112,0,0.1696,0,ben_0259,sess_0028,1787236710
4.7443,80,0,0.1625,0,ben_0374,sess_0028,1787236711
4.3518,28,2,0.2143,1,mal_0008,sess_0028,1787236714
4.9573,106,0,0.1604,0,ben_0015,sess_0028,1787236719
4.4533,63,1,0.1587,0,ben_0405,sess_0028,1787236721
4.7092,58,0,0.1034,0,ben_0219,sess_0029,1787236724
2.7255,9,2,0.3333,1,mal_0015,sess_0029,1787236728
4.6452,58,0,0.1207,0,ben_0081,sess_0029,1787236731
4.9468,110,0,0.1636,0,ben_0136,sess_0029,1787236736
4.5173,52,3,0.0769,1,mal_0012,sess_0030,1787236741
4.6897,55,0,0.1273,0,ben_raw_0008,sess_0030,1787236742
4.6904,85,0,0.1412,0,ben_0371,sess_0030,1787236743
4.9493,108,0,0.1852,0,ben_0013,sess_0030,1787236745
4.5835,49,4,0.449,1,mal_0002,sess_0030,1787236747
4.8946,101,0,0.1881,0,ben_0063,sess_0030,1787236750
5.0166,107,0,0.1869,0,ben_0385,sess_0031,1787236752
4.7345,73,0,0.1507,0,ben_0023,sess_0031,1787236754
4.902,128,0,0.1641,0,ben_0019,sess_0031,1787236756
4.7432,54,0,0.1111,0,ben_0139,sess_0031,1787236759
4.9313,88,0,0.1477,0,ben_0078,sess_0031,1787236760
4.7145,83,0,0.1566,0,ben_0050,sess_0031,1787236764
4.9068,108,0,0.1574,0,ben_0282,sess_0031,1787236768
4.6158,63,1,0.127,0,ben_0403,sess_0031,1787236773
4.6939,62,0,0.0968,0,ben_0092,sess_0032,1787236775
4.475,55,0,0.1091,0,ben_0111,sess_0032,1787236779
4.9315,111,0,0.1622,0,ben_0343,sess_0032,1787236784
4.5442,94,0,0.117,0,ben_0362,sess_0032,1787236787
4.8633,125,0,0.16,0,ben_0047,sess_0032,1787236792
4.7191,57,0,0.1228,0,ben_0278,sess_0033,1787236797
3.4865,37,2,0.1351,1,mal_0009,sess_0033,1787236801
4.9428,105,0,0.1905,0,ben_0107,sess_0033,1787236805
4.8027,64,0,0.1094,0,ben_0074,sess_0034,1787236808
4.7088,107,0,0.1682,0,ben_0288,sess_0034,1787236813
4.655,58,0,0.1207,0,ben_0325,sess_0034,1787236816
4.9264,109,0,0.1651,0,ben_0147,sess_0034,1787236818
4.7407,60,0,0.1167,0,ben_0014,sess_0034,1787236821
4.5922,59,1,0.1525,0,ben_0406,sess_0034,1787236826
4.6237,60,0,0.1167,0,ben_0051,sess_0034,1787236828
4.6777,51,0,0.1176,0,ben_0384,sess_0034,1787236832
4.6508,81,0,0.1358,0,ben_0058,sess_0035,1787236836
4.9679,108,0,0.1759,0,ben_0168,sess_0035,1787236840
4.8611,65,0,0.1231,0,ben_0128,sess_0035,1787236842
4.7098,103,6,0.1748,1,mal_0013,sess_0035,1787236843
4.8402,98,0,0.1633,0,ben_0214,sess_0035,1787236848
4.6134,70,0,0.1571,0,ben_0071,sess_0035,1787236851
4.7307,80,0,0.15,0,ben_0162,sess_0035,1787236854
4.7334,61,0,0.1148,0,ben_0140,sess_0035,1787236858
4.0361,45,3,0.2,1,mal_0011,sess_0036,1787236861
4.9728,100,0,0.19,0,ben_0322,sess_0036,1787236863
4.8741,112,0,0.1518,0,ben_0182,sess_0036,1787236867
4.9241,106,0,0.1792,0,ben_0151,sess_0036,1787236869
4.727,82,0,0.1463,0,ben_0024,sess_0036,1787236874
4.9606,103,0,0.1942,0,ben_0194,sess_0036,1787236876
4.7678,59,0,0.1017,0,ben_0212,sess_0036,1787236881
4.8902,110,0,0.1636,0,ben_0367,sess_0037,1787236886
4.9994,112,0,0.1786,0,ben_0266,sess_0037,1787236888
4.6832,58,0,0.1034,0,ben_0270,sess_0037,1787236893
5.009,107,0,0.1776,0,ben_0157,sess_0037,1787236896
4.7261,62,0,0.1129,0,ben_0132,sess_0037,1787236901
4.742,58,0,0.1034,0,ben_0296,sess_0037,1787236902
4.9079,106,0,0.1887,0,ben_0329,sess_0037,1787236906
4.4585,38,4,0.2632,1,mal_0002,sess_0037,1787236910
4.7462,62,0,0.1129,0,ben_0104,sess_0038,1787236915
4.6974,87,0,0.1494,0,ben_0045,sess_0038,1787236918
4.8681,104,0,0.1923,0,ben_0277,sess_0038,1787236919
4.7761,84,0,0.1429,0,ben_0337,sess_0038,1787236923
5.0437,108,0,0.1852,0,ben_0198,sess_0038,1787236925
4.9733,109,0,0.1743,0,ben_0199,sess_0038,1787236929
4.1047,44,2,0.1818,1,mal_0008,sess_0038,1787236931
4.7181,90,0,0.1333,0,ben_0016,sess_0038,1787236936
4.7367,62,0,0.0968,0,ben_0205,sess_0039,1787236938
4.9307,117,0,0.1624,0,ben_0333,sess_0039,1787236941
4.6562,50,0,0.14,0,ben_raw_0007,sess_0039,1787236945
4.7076,57,0,0.1228,0,ben_0272,sess_0039,1787236948
4.6602,87,0,0.1379,0,ben_0349,sess_0039,1787236949
4.9217,116,0,0.1638,0,ben_0250,sess_0040,1787236952
4.7075,58,0,0.1034,0,ben_0064,sess_0040,1787236956
3.6897,21,0,0.1429,0,ben_0056,sess_0040,1787236959
4.1899,30,0,0.1667,0,ben_0083,sess_0040,1787236961
4.6314,60,0,0.1,0,ben_0307,sess_0041,1787236965
4.6334,89,0,0.1348,0,ben_0091,sess_0041,1787236970
4.5628,93,0,0.1183,0,ben_0195,sess_0041,1787236975
4.4714,38,0,0.1842,0,ben_raw_0011,sess_0041,1787236977
4.7481,61,0,0.0984,0,ben_0293,sess_0041,1787236982
4.7075,58,0,0.1034,0,ben_0008,sess_0041,1787236985
3.7781,89,3,0.5393,1,mal_0012,sess_0041,1787236987
3.9119,82,4,0.1341,1,mal_0002,sess_0041,1787236991
4.8949,107,0,0.1682,0,ben_0331,sess_0042,1787236994
4.7815,60,0,0.1,0,ben_0073,sess_0042,1787236995
4.9029,100,0,0.19,0,ben_0388,sess_0042,1787237000
4.657,54,0,0.1111,0,ben_0209,sess_0042,1787237004
4.7671,84,0,0.1429,0,ben_0287,sess_0042,1787237007
4.5751,84,0,0.131,0,ben_0106,sess_0042,1787237012
4.5874,57,0,0.1228,0,ben_0274,sess_0043,1787237017
4.8549,60,0,0.1333,0,ben_0165,sess_0043,1787237020
4.6584,83,0,0.1446,0,ben_0160,sess_0043,1787237022
4.8012,60,0,0.1,0,ben_0102,sess_0043,1787237024
2.8408,22,1,0.5909,1,mal_0014,sess_0044,1787237028
4.8789,94,0,0.1702,0,ben_0052,sess_0044,1787237033
4.7173,92,0,0.1304,0,ben_0069,sess_0044,1787237036
4.4924,89,0,0.1236,0,ben_0170,sess_0044,1787237040
4.827,73,0,0.1507,0,ben_0053,sess_0044,1787237044
4.4356,49,0,0.1224,0,ben_raw_0003,sess_0045,1787237049
3.1019,17,2,0.2941,1,mal_0015,sess_0045,1787237053
4.878,111,0,0.1532,0,ben_0314,sess_0045,1787237055
4.2768,48,1,0.3125,1,mal_0010,sess_0045,1787237060
4.9756,109,0,0.1743,0,ben_0223,sess_0045,1787237065
4.973,105,0,0.181,0,ben_0028,sess_0045,1787237066
4.5836,56,0,0.1071,0,ben_0281,sess_0045,1787237069
4.9353,101,0,0.1881,0,ben_0001,sess_0045,1787237070
4.6896,82,0,0.1463,0,ben_0049,sess_0046,1787237074
5.0582,105,0,0.181,0,ben_0152,sess_0046,1787237076
4.8044,82,0,0.1463,0,ben_0184,sess_0046,1787237081
4.6777,85,0,0.1294,0,ben_0002,sess_0046,1787237082
4.7335,107,0,0.1682,0,ben_0295,sess_0047,1787237083
4.6001,83,0,0.1325,0,ben_0027,sess_0047,1787237084
4.9049,117,0,0.1624,0,ben_0090,sess_0047,1787237087
5.1317,110,0,0.1818,0,ben_0110,sess_0047,1787237091
4.8432,109,0,0.156,0,ben_0159,sess_0047,1787237093
4.808,106,0,0.1792,0,ben_0304,sess_0048,1787237098
4.6238,91,0,0.1319,0,ben_0393,sess_0048,1787237102
4.9809,105,0,0.1905,0,ben_0298,sess_0048,1787237107
4.8756,61,0,0.1311,0,ben_0317,sess_0048,1787237110
3.4548,17,0,0.1765,0,ben_0310,sess_0048,1787237112
4.9206,106,0,0.1887,0,ben_0339,sess_0048,1787237117
4.8644,104,0,0.1827,0,ben_0030,sess_0048,1787237120
5.0407,103,0,0.1942,0,ben_0215,sess_0048,1787237124
4.835,87,0,0.1379,0,ben_0134,sess_0049,1787237125
4.6922,57,0,0.1053,0,ben_0336,sess_0049,1787237129
4.774,73,0,0.1507,0,ben_0129,sess_0049,1787237132
4.9162,59,0,0.1017,0,ben_0035,sess_0049,1787237133
4.5762,50,1,0.16,0,ben_0408,sess_0049,1787237137
4.6461,68,0,0.1618,0,ben_0202,sess_0049,1787237141
4.7077,61,0,0.0984,0,ben_0241,sess_0050,1787237142
4.8382,97,0,0.1649,0,ben_0289,sess_0050,1787237143
4.6045,86,0,0.1279,0,ben_0204,sess_0050,1787237144
4.7287,52,2,0.1538,0,ben_0416,sess_0051,1787237147
4.7121,87,0,0.1494,0,ben_0207,sess_0051,1787237151
4.8668,86,0,0.1512,0,ben_0340,sess_0051,1787237154
4.5945,77,0,0.1429,0,ben_0252,sess_0051,1787237156
4.6785,62,0,0.1129,0,ben_0017,sess_0051,1787237158
4.933,105,0,0.181,0,ben_0085,sess_0052,1787237161
4.8299,85,0,0.1412,0,ben_0220,sess_0052,1787237162
4.7273,55,0,0.1091,0,ben_0251,sess_0052,1787237163
4.5851,82,0,0.1463,0,ben_0242,sess_0053,1787237166
4.6436,90,0,0.1222,0,ben_0400,sess_0053,1787237167
4.8046,85,0,0.1647,0,ben_0271,sess_0053,1787237168
4.755,93,0,0.1505,0,ben_0146,sess_0053,1787237172
4.7068,81,0,0.1358,0,ben_0364,sess_0053,1787237175
4.7578,83,0,0.1325,0,ben_0070,sess_0053,1787237180
4.631,59,0,0.1017,0,ben_0042,sess_0053,1787237181
4.8819,113,0,0.1681,0,ben_0105,sess_0053,1787237182
4.6922,59,0,0.1186,0,ben_0173,sess_0054,1787237186
4.9705,105,0,0.1905,0,ben_0144,sess_0054,1787237191
4.6132,96,0,0.125,0,ben_0020,sess_0054,1787237196
4.7087,64,0,0.0938,0,ben_0025,sess_0054,1787237199
4.9693,111,0,0.1622,0,ben_0260,sess_0054,1787237202
4.5542,80,0,0.1375,0,ben_0135,sess_0054,1787237205
4.9305,109,0,0.1743,0,ben_0318,sess_0054,1787237207
4.7159,56,0,0.125,0,ben_0249,sess_0054,1787237211
4.7429,107,0,0.1682,0,ben_0032,sess_0055,1787237213
4.8889,109,0,0.156,0,ben_0203,sess_0055,1787237218
4.6929,82,0,0.1463,0,ben_0327,sess_0055,1787237219
4.79,89,0,0.1461,0,ben_0012,sess_0055,1787237222
4.9789,114,0,0.1754,0,ben_0390,sess_0055,1787237225
4.6241,56,0,0.125,0,ben_0238,sess_0055,1787237228
4.5009,59,0,0.1017,0,ben_0039,sess_0055,1787237230
4.5291,83,0,0.1325,0,ben_0276,sess_0056,1787237233
4.2802,29,3,0.3448,1,mal_0004,sess_0056,1787237238
4.5701,83,0,0.1325,0,ben_0379,sess_0056,1787237242
3.7345,17,2,0.1765,1,mal_0009,sess_0056,1787237244
5.0259,111,0,0.1802,0,ben_0201,sess_0057,1787237246
4.9403,77,6,0.1299,1,mal_0013,sess_0057,1787237250
4.9785,106,0,0.1792,0,ben_0155,sess_0057,1787237255
4.6263,56,0,0.125,0,ben_0093,sess_0057,1787237260
4.9714,114,0,0.1754,0,ben_0065,sess_0057,1787237263
4.0535,24,0,0.1667,0,ben_raw_0013,sess_0057,1787237265
4.1941,58,4,0.1897,1,mal_0002,sess_0058,1787237270
2.7499,22,1,0.5909,1,mal_0014,sess_0058,1787237275
4.8109,81,0,0.1728,0,ben_0076,sess_0058,1787237276
4.5172,71,0,0.1549,0,ben_0048,sess_0058,1787237277
4.6271,84,0,0.131,0,ben_0313,sess_0058,1787237279
4.8132,87,0,0.1609,0,ben_0254,sess_0059,1787237280
4.9723,99,0,0.1919,0,ben_0131,sess_0059,1787237282
2.8666,29,2,0.1724,1,mal_0015,sess_0059,1787237284
4.4188,47,2,0.1489,1,mal_0006,sess_0059,1787237288
4.6504,75,0,0.1467,0,ben_0153,sess_0060,1787237292
5.037,113,0,0.1681,0,ben_0285,sess_0060,1787237293
4.9104,110,0,0.1545,0,ben_0291,sess_0060,1787237294
4.6819,82,0,0.1341,0,ben_0084,sess_0060,1787237296
3.428,39,2,0.641,1,mal_0003,sess_0060,1787237299
4.8973,63,0,0.127,0,ben_0301,sess_0060,1787237302
4.8019,87,0,0.1379,0,ben_0114,sess_0061,1787237303
4.7829,85,0,0.1529,0,ben_0200,sess_0061,1787237304
4.6477,77,0,0.1558,0,ben_0169,sess_0061,1787237307
4.86,89,0,0.1348,0,ben_0328,sess_0061,1787237310
4.0902,29,0,0.1724,0,ben_raw_0005,sess_0061,1787237313
4.6483,92,0,0.1196,0,ben_0171,sess_0062,1787237314
4.4868,79,0,0.1392,0,ben_0365,sess_0062,1787237318
4.7221,86,0,0.1395,0,ben_0005,sess_0062,1787237322
4.9672,100,0,0.19,0,ben_0138,sess_0062,1787237323
4.7469,93,0,0.1505,0,ben_0344,sess_0062,1787237328
4.9371,102,0,0.1863,0,ben_0123,sess_0062,1787237329
4.8998,97,0,0.1753,0,ben_0077,sess_0062,1787237333
4.7324,82,0,0.1585,0,ben_0003,sess_0062,1787237334
4.6442,91,0,0.1209,0,ben_0210,sess_0063,1787237338
4.7482,58,0,0.1034,0,ben_0125,sess_0063,1787237339
4.041,42,2,0.5238,1,mal_0008,sess_0063,1787237340
3.5884,23,2,0.2609,1,mal_0005,sess_0063,1787237345
2.439,21,1,0.8095,1,mal_0001,sess_0064,1787237349
4.7574,93,0,0.1398,0,ben_0183,sess_0064,1787237353
4.7672,85,0,0.1412,0,ben_0245,sess_0064,1787237357
4.6861,66,0,0.1061,0,ben_0108,sess_0064,1787237360
4.9041,112,0,0.1607,0,ben_0363,sess_0064,1787237365
4.9663,77,6,0.1299,1,mal_0013,sess_0064,1787237370
4.5985,89,0,0.1348,0,ben_0303,sess_0065,1787237371
4.8936,102,0,0.1863,0,ben_0142,sess_0065,1787237374
4.7447,64,0,0.1094,0,ben_0176,sess_0065,1787237377
5.0057,109,0,0.1743,0,ben_0206,sess_0065,1787237380
3.8937,25,0,0.16,0,ben_0068,sess_0065,1787237382
4.8563,97,0,0.1649,0,ben_0342,sess_0065,1787237387
4.921,109,0,0.156,0,ben_0044,sess_0065,1787237392
3.9297,60,2,0.1333,1,mal_0008,sess_0065,1787237397
4.9012,110,0,0.1727,0,ben_0041,sess_0066,1787237400
4.5949,59,0,0.1017,0,ben_0034,sess_0066,1787237405
4.6241,56,0,0.1071,0,ben_0395,sess_0066,1787237409
4.165,33,0,0.1515,0,ben_raw_0009,sess_0066,1787237411
4.6064,50,0,0.12,0,ben_0244,sess_0066,1787237412
4.7464,79,0,0.1392,0,ben_0382,sess_0066,1787237413
3.6304,21,2,0.2381,1,mal_0009,sess_0067,1787237415
4.9794,110,0,0.1636,0,ben_0218,sess_0067,1787237416
3.8797,22,0,0.1818,0,ben_raw_0015,sess_0067,1787237418
4.7611,57,0,0.1053,0,ben_0062,sess_0067,1787237420
3.9149,23,2,0.2174,1,mal_0003,sess_0067,1787237423
4.7188,60,0,0.1167,0,ben_0300,sess_0067,1787237424
4.631,53,0,0.1132,0,ben_0378,sess_0067,1787237427
4.9488,114,0,0.1667,0,ben_0319,sess_0068,1787237428
4.9512,110,0,0.1727,0,ben_0126,sess_0068,1787237432
4.9835,111,0,0.1712,0,ben_0197,sess_0068,1787237434
4.5481,86,0,0.1279,0,ben_0351,sess_0068,1787237436
4.9588,117,0,0.1624,0,ben_0346,sess_0068,1787237438
4.7188,60,0,0.1,0,ben_0255,sess_0068,1787237439
4.5958,63,0,0.0952,0,ben_0149,sess_0069,1787237440
4.8878,106,0,0.1792,0,ben_0115,sess_0069,1787237442
4.5926,55,0,0.1091,0,ben_0122,sess_0069,1787237443
4.934,108,0,0.1667,0,ben_0213,sess_0069,1787237444
4.95,106,0,0.1792,0,ben_0376,sess_0069,1787237448
4.9502,107,0,0.1589,0,ben_0166,sess_0070,1787237449
4.4792,37,0,0.2162,0,ben_0407,sess_0070,1787237452
4.8432,109,0,0.1743,0,ben_0377,sess_0070,1787237456
4.9729,108,0,0.1852,0,ben_0221,sess_0070,1787237460
4.864,103,0,0.1845,0,ben_0269,sess_0070,1787237461
4.881,101,0,0.1881,0,ben_0185,sess_0070,1787237464
4.588,88,0,0.125,0,ben_0109,sess_0070,1787237469
4.8535,129,0,0.155,0,ben_0067,sess_0070,1787237473
4.1304,47,3,0.2553,1,mal_0004,sess_0071,1787237476
4.9005,108,0,0.1759,0,ben_0127,sess_0071,1787237477
4.649,77,0,0.1558,0,ben_0324,sess_0071,1787237481
4.9891,113,0,0.1681,0,ben_0098,sess_0071,1787237484
4.7524,85,0,0.1412,0,ben_0227,sess_0071,1787237485
4.9046,127,0,0.1575,0,ben_0174,sess_0072,1787237486
4.798,90,0,0.1333,0,ben_0010,sess_0072,1787237488
4.5445,42,2,0.3333,1,mal_0006,sess_0072,1787237493
4.8121,112,0,0.1696,0,ben_0311,sess_0072,1787237497
4.5684,50,0,0.14,0,ben_raw_0002,sess_0072,1787237501
4.6094,61,0,0.0984,0,ben_0358,sess_0072,1787237503
4.6328,56,1,0.1607,0,ben_0401,sess_0073,1787237505
3.3088,21,2,0.5714,1,mal_0005,sess_0073,1787237506
4.5003,52,3,0.0769,1,mal_0012,sess_0073,1787237507
5.0017,108,0,0.1759,0,ben_0113,sess_0073,1787237508
4.1638,60,4,0.1833,1,mal_0002,sess_0073,1787237510
4.8953,102,0,0.1863,0,ben_0179,sess_0073,1787237514
4.8791,107,0,0.1776,0,ben_0286,sess_0074,1787237516
2.9001,19,2,0.2632,1,mal_0015,sess_0074,1787237518
